seatId,sectionId,rowNumber,seatNumber,seatType,status,version
SEC_STD01_A_R01_S01,SEC_STD01_A,1,R01-S01,VIP,BOOKED,0
SEC_STD01_A_R01_S02,SEC_STD01_A,1,R01-S02,VIP,BOOKED,0
SEC_STD01_A_R01_S03,SEC_STD01_A,1,R01-S03,VIP,BOOKED,0
SEC_STD01_A_R01_S04,SEC_STD01_A,1,R01-S04,VIP,BOOKED,0
SEC_STD01_A_R01_S05,SEC_STD01_A,1,R01-S05,VIP,BOOKED,0
SEC_STD01_A_R01_S06,SEC_STD01_A,1,R01-S06,VIP,BOOKED,0
SEC_STD01_A_R01_S07,SEC_STD01_A,1,R01-S07,VIP,BOOKED,0
SEC_STD01_A_R01_S08,SEC_STD01_A,1,R01-S08,VIP,BOOKED,0
SEC_STD01_A_R01_S09,SEC_STD01_A,1,R01-S09,VIP,BOOKED,0
SEC_STD01_A_R01_S10,SEC_STD01_A,1,R01-S10,VIP,BOOKED,0
SEC_STD01_A_R01_S11,SEC_STD01_A,1,R01-S11,VIP,BOOKED,0
SEC_STD01_A_R01_S12,SEC_STD01_A,1,R01-S12,VIP,BOOKED,0
SEC_STD01_A_R01_S13,SEC_STD01_A,1,R01-S13,VIP,BOOKED,0
SEC_STD01_A_R01_S14,SEC_STD01_A,1,R01-S14,VIP,BOOKED,0
SEC_STD01_A_R01_S15,SEC_STD01_A,1,R01-S15,VIP,BOOKED,0
SEC_STD01_A_R01_S16,SEC_STD01_A,1,R01-S16,VIP,BOOKED,0
SEC_STD01_A_R01_S17,SEC_STD01_A,1,R01-S17,VIP,BOOKED,0
SEC_STD01_A_R01_S18,SEC_STD01_A,1,R01-S18,VIP,BOOKED,0
SEC_STD01_A_R01_S19,SEC_STD01_A,1,R01-S19,VIP,BOOKED,0
SEC_STD01_A_R01_S20,SEC_STD01_A,1,R01-S20,VIP,BOOKED,0
SEC_STD01_A_R01_S21,SEC_STD01_A,1,R01-S21,VIP,BOOKED,0
SEC_STD01_A_R01_S22,SEC_STD01_A,1,R01-S22,VIP,BOOKED,0
SEC_STD01_A_R01_S23,SEC_STD01_A,1,R01-S23,VIP,BOOKED,0
SEC_STD01_A_R01_S24,SEC_STD01_A,1,R01-S24,VIP,BOOKED,0
SEC_STD01_A_R01_S25,SEC_STD01_A,1,R01-S25,VIP,BOOKED,0
SEC_STD01_A_R01_S26,SEC_STD01_A,1,R01-S26,VIP,BOOKED,0
SEC_STD01_A_R01_S27,SEC_STD01_A,1,R01-S27,VIP,BOOKED,0
SEC_STD01_A_R01_S28,SEC_STD01_A,1,R01-S28,VIP,BOOKED,0
SEC_STD01_A_R01_S29,SEC_STD01_A,1,R01-S29,VIP,BOOKED,0
SEC_STD01_A_R01_S30,SEC_STD01_A,1,R01-S30,VIP,BOOKED,0
SEC_STD01_A_R01_S31,SEC_STD01_A,1,R01-S31,VIP,BOOKED,0
SEC_STD01_A_R01_S32,SEC_STD01_A,1,R01-S32,VIP,BOOKED,0
SEC_STD01_A_R01_S33,SEC_STD01_A,1,R01-S33,VIP,BOOKED,0
SEC_STD01_A_R01_S34,SEC_STD01_A,1,R01-S34,VIP,BOOKED,0
SEC_STD01_A_R01_S35,SEC_STD01_A,1,R01-S35,VIP,BOOKED,0
SEC_STD01_A_R01_S36,SEC_STD01_A,1,R01-S36,VIP,BOOKED,0
SEC_STD01_A_R01_S37,SEC_STD01_A,1,R01-S37,VIP,BOOKED,0
SEC_STD01_A_R01_S38,SEC_STD01_A,1,R01-S38,VIP,BOOKED,0
SEC_STD01_A_R01_S39,SEC_STD01_A,1,R01-S39,VIP,BOOKED,0
SEC_STD01_A_R01_S40,SEC_STD01_A,1,R01-S40,VIP,BOOKED,0
SEC_STD01_A_R01_S41,SEC_STD01_A,1,R01-S41,VIP,BOOKED,0
SEC_STD01_A_R01_S42,SEC_STD01_A,1,R01-S42,VIP,BOOKED,0
SEC_STD01_A_R01_S43,SEC_STD01_A,1,R01-S43,VIP,BOOKED,0
SEC_STD01_A_R01_S44,SEC_STD01_A,1,R01-S44,VIP,BOOKED,0
SEC_STD01_A_R01_S45,SEC_STD01_A,1,R01-S45,VIP,BOOKED,0
SEC_STD01_A_R01_S46,SEC_STD01_A,1,R01-S46,VIP,BOOKED,0
SEC_STD01_A_R01_S47,SEC_STD01_A,1,R01-S47,VIP,BOOKED,0
SEC_STD01_A_R01_S48,SEC_STD01_A,1,R01-S48,VIP,BOOKED,0
SEC_STD01_A_R01_S49,SEC_STD01_A,1,R01-S49,VIP,BOOKED,0
SEC_STD01_A_R01_S50,SEC_STD01_A,1,R01-S50,VIP,BOOKED,0
SEC_STD01_A_R01_S51,SEC_STD01_A,1,R01-S51,VIP,BOOKED,0
SEC_STD01_A_R01_S52,SEC_STD01_A,1,R01-S52,VIP,BOOKED,0
SEC_STD01_A_R01_S53,SEC_STD01_A,1,R01-S53,VIP,BOOKED,0
SEC_STD01_A_R01_S54,SEC_STD01_A,1,R01-S54,VIP,BOOKED,0
SEC_STD01_A_R01_S55,SEC_STD01_A,1,R01-S55,VIP,BOOKED,0
SEC_STD01_A_R01_S56,SEC_STD01_A,1,R01-S56,VIP,BOOKED,0
SEC_STD01_A_R01_S57,SEC_STD01_A,1,R01-S57,VIP,BOOKED,0
SEC_STD01_A_R01_S58,SEC_STD01_A,1,R01-S58,VIP,BOOKED,0
SEC_STD01_A_R01_S59,SEC_STD01_A,1,R01-S59,VIP,BOOKED,0
SEC_STD01_A_R01_S60,SEC_STD01_A,1,R01-S60,VIP,BOOKED,0
SEC_STD01_A_R02_S01,SEC_STD01_A,2,R02-S01,VIP,BOOKED,0
SEC_STD01_A_R02_S02,SEC_STD01_A,2,R02-S02,VIP,BOOKED,0
SEC_STD01_A_R02_S03,SEC_STD01_A,2,R02-S03,VIP,BOOKED,0
SEC_STD01_A_R02_S04,SEC_STD01_A,2,R02-S04,VIP,BOOKED,0
SEC_STD01_A_R02_S05,SEC_STD01_A,2,R02-S05,VIP,BOOKED,0
SEC_STD01_A_R02_S06,SEC_STD01_A,2,R02-S06,VIP,BOOKED,0
SEC_STD01_A_R02_S07,SEC_STD01_A,2,R02-S07,VIP,BOOKED,0
SEC_STD01_A_R02_S08,SEC_STD01_A,2,R02-S08,VIP,BOOKED,0
SEC_STD01_A_R02_S09,SEC_STD01_A,2,R02-S09,VIP,BOOKED,0
SEC_STD01_A_R02_S10,SEC_STD01_A,2,R02-S10,VIP,BOOKED,0
SEC_STD01_A_R02_S11,SEC_STD01_A,2,R02-S11,VIP,BOOKED,0
SEC_STD01_A_R02_S12,SEC_STD01_A,2,R02-S12,VIP,BOOKED,0
SEC_STD01_A_R02_S13,SEC_STD01_A,2,R02-S13,VIP,BOOKED,0
SEC_STD01_A_R02_S14,SEC_STD01_A,2,R02-S14,VIP,BOOKED,0
SEC_STD01_A_R02_S15,SEC_STD01_A,2,R02-S15,VIP,BOOKED,0
SEC_STD01_A_R02_S16,SEC_STD01_A,2,R02-S16,VIP,BOOKED,0
SEC_STD01_A_R02_S17,SEC_STD01_A,2,R02-S17,VIP,BOOKED,0
SEC_STD01_A_R02_S18,SEC_STD01_A,2,R02-S18,VIP,BOOKED,0
SEC_STD01_A_R02_S19,SEC_STD01_A,2,R02-S19,VIP,BOOKED,0
SEC_STD01_A_R02_S20,SEC_STD01_A,2,R02-S20,VIP,BOOKED,0
SEC_STD01_A_R02_S21,SEC_STD01_A,2,R02-S21,VIP,BOOKED,0
SEC_STD01_A_R02_S22,SEC_STD01_A,2,R02-S22,VIP,BOOKED,0
SEC_STD01_A_R02_S23,SEC_STD01_A,2,R02-S23,VIP,BOOKED,0
SEC_STD01_A_R02_S24,SEC_STD01_A,2,R02-S24,VIP,BOOKED,0
SEC_STD01_A_R02_S25,SEC_STD01_A,2,R02-S25,VIP,BOOKED,0
SEC_STD01_A_R02_S26,SEC_STD01_A,2,R02-S26,VIP,BOOKED,0
SEC_STD01_A_R02_S27,SEC_STD01_A,2,R02-S27,VIP,BOOKED,0
SEC_STD01_A_R02_S28,SEC_STD01_A,2,R02-S28,VIP,BOOKED,0
SEC_STD01_A_R02_S29,SEC_STD01_A,2,R02-S29,VIP,BOOKED,0
