ticketId,matchId,seatId,transactionId,fanId,price,bookingDate,status
TCK000001,MTH01,SEC_STD01_A_R01_S01,TXN00001,FAN0041,1000000.0,2026-09-11 14:03:00,BOOKED
TCK000002,MTH01,SEC_STD01_A_R01_S02,TXN00002,FAN0194,1000000.0,2026-09-12 14:06:00,BOOKED
TCK000003,MTH01,SEC_STD01_A_R01_S03,TXN00002,FAN0194,1000000.0,2026-09-12 14:06:00,BOOKED
TCK000004,MTH01,SEC_STD01_A_R01_S04,TXN00002,FAN0194,1000000.0,2026-09-12 14:06:00,BOOKED
TCK000005,MTH01,SEC_STD01_A_R01_S05,TXN00003,FAN0031,1000000.0,2026-09-13 14:09:00,BOOKED
TCK000006,MTH01,SEC_STD01_A_R01_S06,TXN00003,FAN0031,1000000.0,2026-09-13 14:09:00,BOOKED
TCK000007,MTH01,SEC_STD01_A_R01_S07,TXN00003,FAN0031,1000000.0,2026-09-13 14:09:00,BOOKED
TCK000008,MTH01,SEC_STD01_A_R01_S08,TXN00003,FAN0031,1000000.0,2026-09-13 14:09:00,BOOKED
TCK000009,MTH01,SEC_STD01_A_R01_S09,TXN00004,FAN0230,1000000.0,2026-09-14 14:12:00,BOOKED
TCK000010,MTH01,SEC_STD01_A_R01_S10,TXN00004,FAN0230,1000000.0,2026-09-14 14:12:00,BOOKED
TCK000011,MTH01,SEC_STD01_A_R01_S11,TXN00004,FAN0230,1000000.0,2026-09-14 14:12:00,BOOKED
TCK000012,MTH01,SEC_STD01_A_R01_S12,TXN00004,FAN0230,1000000.0,2026-09-14 14:12:00,BOOKED
TCK000013,MTH01,SEC_STD01_A_R01_S13,TXN00005,FAN0233,1000000.0,2026-09-15 14:15:00,BOOKED
TCK000014,MTH01,SEC_STD01_A_R01_S14,TXN00005,FAN0233,1000000.0,2026-09-15 14:15:00,BOOKED
TCK000015,MTH01,SEC_STD01_A_R01_S15,TXN00005,FAN0233,1000000.0,2026-09-15 14:15:00,BOOKED
TCK000016,MTH01,SEC_STD01_A_R01_S16,TXN00006,FAN0115,1000000.0,2026-09-16 14:18:00,BOOKED
TCK000017,MTH01,SEC_STD01_A_R01_S17,TXN00007,FAN0100,1000000.0,2026-09-17 14:21:00,BOOKED
TCK000018,MTH01,SEC_STD01_A_R01_S18,TXN00007,FAN0100,1000000.0,2026-09-17 14:21:00,BOOKED
TCK000019,MTH01,SEC_STD01_A_R01_S19,TXN00007,FAN0100,1000000.0,2026-09-17 14:21:00,BOOKED
TCK000020,MTH01,SEC_STD01_A_R01_S20,TXN00007,FAN0100,1000000.0,2026-09-17 14:21:00,BOOKED
TCK000021,MTH01,SEC_STD01_A_R01_S21,TXN00008,FAN0069,1000000.0,2026-09-18 14:24:00,BOOKED
TCK000022,MTH01,SEC_STD01_A_R01_S22,TXN00008,FAN0069,1000000.0,2026-09-18 14:24:00,BOOKED
TCK000023,MTH01,SEC_STD01_A_R01_S23,TXN00008,FAN0069,1000000.0,2026-09-18 14:24:00,BOOKED
TCK000024,MTH01,SEC_STD01_A_R01_S24,TXN00009,FAN0139,1000000.0,2026-09-19 14:27:00,BOOKED
TCK000025,MTH01,SEC_STD01_A_R01_S25,TXN00009,FAN0139,1000000.0,2026-09-19 14:27:00,BOOKED
TCK000026,MTH01,SEC_STD01_A_R01_S26,TXN00009,FAN0139,1000000.0,2026-09-19 14:27:00,BOOKED
TCK000027,MTH01,SEC_STD01_A_R01_S27,TXN00010,FAN0129,1000000.0,2026-09-20 14:30:00,BOOKED
TCK000028,MTH01,SEC_STD01_A_R01_S28,TXN00010,FAN0129,1000000.0,2026-09-20 14:30:00,BOOKED
TCK000029,MTH01,SEC_STD01_A_R01_S29,TXN00010,FAN0129,1000000.0,2026-09-20 14:30:00,BOOKED
TCK000030,MTH01,SEC_STD01_A_R01_S30,TXN00011,FAN0137,1000000.0,2026-09-21 14:33:00,BOOKED
TCK000031,MTH01,SEC_STD01_A_R01_S31,TXN00012,FAN0204,1000000.0,2026-09-22 14:36:00,BOOKED
TCK000032,MTH01,SEC_STD01_A_R01_S32,TXN00012,FAN0204,1000000.0,2026-09-22 14:36:00,BOOKED
TCK000033,MTH01,SEC_STD01_A_R01_S33,TXN00013,FAN0141,1000000.0,2026-09-23 14:39:00,BOOKED
TCK000034,MTH01,SEC_STD01_A_R01_S34,TXN00013,FAN0141,1000000.0,2026-09-23 14:39:00,BOOKED
TCK000035,MTH01,SEC_STD01_A_R01_S35,TXN00013,FAN0141,1000000.0,2026-09-23 14:39:00,BOOKED
TCK000036,MTH01,SEC_STD01_A_R01_S36,TXN00013,FAN0141,1000000.0,2026-09-23 14:39:00,BOOKED
TCK000037,MTH01,SEC_STD01_A_R01_S37,TXN00014,FAN0144,1000000.0,2026-09-24 14:42:00,BOOKED
TCK000038,MTH01,SEC_STD01_A_R01_S38,TXN00015,FAN0097,1000000.0,2026-09-10 14:45:00,BOOKED
TCK000039,MTH01,SEC_STD01_A_R01_S39,TXN00015,FAN0097,1000000.0,2026-09-10 14:45:00,BOOKED
TCK000040,MTH01,SEC_STD01_A_R01_S40,TXN00015,FAN0097,1000000.0,2026-09-10 14:45:00,BOOKED
TCK000041,MTH01,SEC_STD01_A_R01_S41,TXN00016,FAN0184,1000000.0,2026-09-11 14:48:00,BOOKED
TCK000042,MTH01,SEC_STD01_A_R01_S42,TXN00016,FAN0184,1000000.0,2026-09-11 14:48:00,BOOKED
TCK000043,MTH01,SEC_STD01_A_R01_S43,TXN00016,FAN0184,1000000.0,2026-09-11 14:48:00,BOOKED
TCK000044,MTH01,SEC_STD01_A_R01_S44,TXN00017,FAN0082,1000000.0,2026-09-12 14:51:00,BOOKED
TCK000045,MTH01,SEC_STD01_A_R01_S45,TXN00017,FAN0082,1000000.0,2026-09-12 14:51:00,BOOKED
TCK000046,MTH01,SEC_STD01_A_R01_S46,TXN00017,FAN0082,1000000.0,2026-09-12 14:51:00,BOOKED
TCK000047,MTH01,SEC_STD01_A_R01_S47,TXN00017,FAN0082,1000000.0,2026-09-12 14:51:00,BOOKED
TCK000048,MTH01,SEC_STD01_A_R01_S48,TXN00018,FAN0007,1000000.0,2026-09-13 14:54:00,BOOKED
