transactionId,fanId,matchId,totalAmount,ticketCount,transactionDate,status
TXN00001,FAN0041,MTH01,1000000.0,1,2026-09-11 14:03:00,SUCCESS
TXN00002,FAN0194,MTH01,3000000.0,3,2026-09-12 14:06:00,SUCCESS
TXN00003,FAN0031,MTH01,4000000.0,4,2026-09-13 14:09:00,SUCCESS
TXN00004,FAN0230,MTH01,4000000.0,4,2026-09-14 14:12:00,SUCCESS
TXN00005,FAN0233,MTH01,3000000.0,3,2026-09-15 14:15:00,SUCCESS
TXN00006,FAN0115,MTH01,1000000.0,1,2026-09-16 14:18:00,SUCCESS
TXN00007,FAN0100,MTH01,4000000.0,4,2026-09-17 14:21:00,SUCCESS
TXN00008,FAN0069,MTH01,3000000.0,3,2026-09-18 14:24:00,SUCCESS
TXN00009,FAN0139,MTH01,3000000.0,3,2026-09-19 14:27:00,SUCCESS
TXN00010,FAN0129,MTH01,3000000.0,3,2026-09-20 14:30:00,SUCCESS
TXN00011,FAN0137,MTH01,1000000.0,1,2026-09-21 14:33:00,SUCCESS
TXN00012,FAN0204,MTH01,2000000.0,2,2026-09-22 14:36:00,SUCCESS
TXN00013,FAN0141,MTH01,4000000.0,4,2026-09-23 14:39:00,SUCCESS
TXN00014,FAN0144,MTH01,1000000.0,1,2026-09-24 14:42:00,SUCCESS
TXN00015,FAN0097,MTH01,3000000.0,3,2026-09-10 14:45:00,SUCCESS
TXN00016,FAN0184,MTH01,3000000.0,3,2026-09-11 14:48:00,SUCCESS
TXN00017,FAN0082,MTH01,4000000.0,4,2026-09-12 14:51:00,SUCCESS
TXN00018,FAN0007,MTH01,2000000.0,2,2026-09-13 14:54:00,SUCCESS
TXN00019,FAN0053,MTH01,3000000.0,3,2026-09-14 14:57:00,SUCCESS
TXN00020,FAN0042,MTH01,1000000.0,1,2026-09-15 14:00:00,SUCCESS
TXN00021,FAN0211,MTH01,3000000.0,3,2026-09-16 14:03:00,SUCCESS
TXN00022,FAN0213,MTH01,3000000.0,3,2026-09-17 14:06:00,SUCCESS
TXN00023,FAN0060,MTH01,4000000.0,4,2026-09-18 14:09:00,SUCCESS
TXN00024,FAN0182,MTH01,2000000.0,2,2026-09-19 14:12:00,SUCCESS
TXN00025,FAN0101,MTH01,4000000.0,4,2026-09-20 14:15:00,SUCCESS
TXN00026,FAN0039,MTH01,3000000.0,3,2026-09-21 14:18:00,SUCCESS
TXN00027,FAN0077,MTH01,1000000.0,1,2026-09-22 14:21:00,SUCCESS
TXN00028,FAN0190,MTH01,1000000.0,1,2026-09-23 14:24:00,SUCCESS
TXN00029,FAN0025,MTH01,4000000.0,4,2026-09-24 14:27:00,SUCCESS
TXN00030,FAN0056,MTH01,1000000.0,1,2026-09-10 14:30:00,SUCCESS
TXN00031,FAN0059,MTH01,3000000.0,3,2026-09-11 14:33:00,SUCCESS
TXN00032,FAN0104,MTH01,1000000.0,1,2026-09-12 14:36:00,SUCCESS
TXN00033,FAN0026,MTH01,3000000.0,3,2026-09-13 14:39:00,SUCCESS
TXN00034,FAN0160,MTH01,1000000.0,1,2026-09-14 14:42:00,SUCCESS
TXN00035,FAN0170,MTH01,4000000.0,4,2026-09-15 14:45:00,SUCCESS
TXN00036,FAN0004,MTH01,1000000.0,1,2026-09-16 14:48:00,SUCCESS
TXN00037,FAN0012,MTH01,1000000.0,1,2026-09-17 14:51:00,SUCCESS
TXN00038,FAN0019,MTH01,1000000.0,1,2026-09-18 14:54:00,SUCCESS
TXN00039,FAN0137,MTH01,4000000.0,4,2026-09-19 14:57:00,SUCCESS
TXN00040,FAN0155,MTH01,4000000.0,4,2026-09-20 14:00:00,SUCCESS
TXN00041,FAN0215,MTH01,2000000.0,2,2026-09-21 14:03:00,SUCCESS
TXN00042,FAN0172,MTH01,1000000.0,1,2026-09-22 14:06:00,SUCCESS
TXN00043,FAN0064,MTH01,3000000.0,3,2026-09-23 14:09:00,SUCCESS
TXN00044,FAN0134,MTH01,2000000.0,2,2026-09-24 14:12:00,SUCCESS
TXN00045,FAN0093,MTH01,1000000.0,1,2026-09-10 14:15:00,SUCCESS
TXN00046,FAN0022,MTH01,4000000.0,4,2026-09-11 14:18:00,SUCCESS
TXN00047,FAN0147,MTH01,3000000.0,3,2026-09-12 14:21:00,SUCCESS
TXN00048,FAN0066,MTH01,1000000.0,1,2026-09-13 14:24:00,SUCCESS
TXN00049,FAN0204,MTH01,2000000.0,2,2026-09-14 14:27:00,SUCCESS
TXN00050,FAN0035,MTH01,4000000.0,4,2026-09-15 14:30:00,SUCCESS
TXN00051,FAN0049,MTH01,4000000.0,4,2026-09-16 14:33:00,SUCCESS
TXN00052,FAN0047,MTH01,1000000.0,1,2026-09-17 14:36:00,SUCCESS
TXN00053,FAN0184,MTH01,3000000.0,3,2026-09-18 14:39:00,SUCCESS
TXN00054,FAN0148,MTH01,2000000.0,2,2026-09-19 14:42:00,SUCCESS
TXN00055,FAN0051,MTH01,2000000.0,2,2026-09-20 14:45:00,SUCCESS
TXN00056,FAN0192,MTH01,4000000.0,4,2026-09-21 14:48:00,SUCCESS
TXN00057,FAN0164,MTH01,1000000.0,1,2026-09-22 14:51:00,SUCCESS
TXN00058,FAN0069,MTH01,4000000.0,4,2026-09-23 14:54:00,SUCCESS
TXN00059,FAN0074,MTH01,4000000.0,4,2026-09-24 14:57:00,SUCCESS
TXN00060,FAN0248,MTH01,2000000.0,2,2026-09-10 14:00:00,SUCCESS
